SummaryNodes,SummaryEdges,NodeThreshold,EdgeThreshold,Objective,TestObjective
154,5532,7295,42395,409.5557,159.8255
155,5540,7295,42395,407.5414,159.8255
156,5566,7295,42395,407.5392,159.8241
157,5636,7295,42395,407.4995,159.8086
158,5678,7295,42395,407.3349,159.8069
159,5798,7295,42395,407.2654,159.8030
160,5823,7295,42395,407.1451,159.7995
161,5889,7295,42395,406.8052,159.7962
162,5897,7295,42395,406.7432,159.7949
163,5937,7295,42395,406.5961,159.7663
164,6000,7295,42395,406.3471,159.7277
165,6057,7295,42395,406.2902,159.7227
166,6112,7295,42395,406.1824,159.7227
167,6136,7295,42395,406.0786,159.7215
168,6182,7295,42395,406.0124,159.7181
169,6214,7295,42395,405.9235,159.0243
170,6258,7295,42395,405.1955,159.0243
171,6302,7295,42395,405.0200,158.9917
172,6391,7295,42395,404.4669,158.9917
173,6458,7295,42395,404.3057,158.9902
174,6477,7295,42395,404.2256,158.9892
175,6484,7295,42395,404.2179,158.9884
176,6652,7295,42395,404.1483,158.9884
177,6666,7295,42395,404.0667,158.9756
178,6689,7295,42395,403.9750,158.9551
179,6715,7295,42395,403.9336,158.9438
180,6726,7295,42395,403.8779,158.9412
181,6840,7295,42395,403.6805,158.9387
182,6866,7295,42395,403.6535,158.9364
183,6906,7295,42395,403.6318,158.9292
184,6961,7295,42395,403.5279,158.9257
185,7007,7295,42395,403.4040,158.8317
186,7034,7295,42395,403.3116,158.8304
187,7048,7295,42395,403.2281,158.8304
188,7080,7295,42395,403.0933,158.8296
189,7091,7295,42395,403.0311,158.8236
190,7117,7295,42395,402.1984,158.8145
191,7139,7295,42395,401.6574,158.8131
192,7152,7295,42395,401.4766,158.8117
193,7180,7295,42395,401.3971,158.8117
194,7246,7295,42395,401.1442,158.8070
195,7406,7295,42395,401.0237,158.8069
196,7411,7295,42395,400.9282,158.8068
197,7456,7295,42395,400.8544,158.8035
198,7481,7295,42395,400.6777,158.7918
199,7498,7295,42395,400.2506,158.7914
200,7521,7295,42395,400.2039,158.7887
201,7606,7295,42395,399.9606,158.6697
202,7632,7295,42395,399.0742,158.6685
203,7661,7295,42395,398.9754,158.6672
204,7700,7295,42395,398.8291,158.4861
205,7734,7295,42395,398.8174,158.4834
206,7749,7295,42395,398.6222,158.4810
207,7798,7295,42395,398.6063,158.4476
208,7813,7295,42395,398.5892,158.4436
209,7836,7295,42395,398.4260,158.4382
210,7918,7295,42395,397.7933,158.4328
211,7939,7295,42395,397.7304,158.4322
212,7996,7295,42395,396.1096,158.4299
213,8027,7295,42395,396.0459,158.4259
214,8043,7295,42395,396.0187,158.4219
215,8063,7295,42395,395.3467,158.4181
216,8069,7295,42395,395.1254,158.4181
217,8078,7295,42395,395.0872,158.4176
218,8116,7295,42395,395.0360,158.4131
219,8132,7295,42395,394.4246,158.4131
220,8148,7295,42395,394.3113,158.3956
221,8203,7295,42395,393.4400,158.3468
222,8268,7295,42395,393.3229,158.3463
223,8303,7295,42395,393.1423,158.3402
224,8355,7295,42395,392.9095,158.3326
225,8376,7295,42395,392.6447,158.3309
226,8383,7295,42395,392.4455,158.3305
227,8417,7295,42395,392.3532,158.3173
228,8425,7295,42395,391.7540,158.3156
229,8446,7295,42395,390.6425,158.3118
230,8469,7295,42395,390.5407,158.3050
231,8493,7295,42395,390.1373,158.3037
232,8540,7295,42395,390.0946,158.3032
233,8581,7295,42395,390.0492,158.3032
234,8623,7295,42395,389.2501,158.3032
235,8643,7295,42395,388.9428,158.2969
236,8668,7295,42395,388.6480,155.8062
237,8682,7295,42395,387.7326,155.8062
238,8714,7295,42395,387.5521,155.8049
239,8722,7295,42395,387.4173,155.8046
240,8807,7295,42395,387.4036,155.8013
241,8814,7295,42395,387.3461,155.8013
242,8835,7295,42395,387.2397,155.8013
243,8840,7295,42395,387.2272,155.8010
244,8852,7295,42395,386.9635,155.8010
245,8876,7295,42395,386.8477,155.7971
246,8920,7295,42395,386.6419,155.7691
247,8950,7295,42395,386.4617,155.7635
248,8970,7295,42395,386.2255,155.7589
249,9052,7295,42395,386.1596,155.7174
250,9059,7295,42395,384.9900,155.7174
251,9169,7295,42395,384.9288,155.7029
252,9180,7295,42395,384.7513,155.6990
253,9206,7295,42395,384.5626,155.6980
254,9223,7295,42395,384.5314,155.6977
255,9271,7295,42395,381.5642,155.6838
256,9321,7295,42395,381.5078,152.2472
257,9333,7295,42395,381.4530,152.2466
258,9371,7295,42395,381.3798,152.1994
259,9457,7295,42395,378.8355,152.1991
260,9481,7295,42395,378.6540,152.1983
261,9492,7295,42395,378.6063,152.1981
262,9576,7295,42395,378.5828,152.1905
263,9617,7295,42395,378.4246,152.1595
264,9638,7295,42395,376.3030,152.1591
265,9676,7295,42395,375.9021,152.1580
266,9814,7295,42395,375.7745,152.1002
267,9942,7295,42395,375.7023,152.0994
268,9945,7295,42395,375.6412,152.0993
269,9958,7295,42395,375.0279,152.0986
270,9968,7295,42395,374.8607,152.0985
271,9984,7295,42395,374.7667,152.0983
272,9995,7295,42395,374.6569,152.0978
273,10045,7295,42395,374.3511,152.0966
274,10079,7295,42395,373.7339,152.0953
275,10148,7295,42395,373.4664,152.0946
276,10175,7295,42395,372.6483,152.0938
277,10325,7295,42395,372.4740,152.0813
278,10369,7295,42395,372.0003,152.0785
279,10397,7295,42395,371.8368,152.0765
280,10470,7295,42395,371.7828,152.0650
281,10489,7295,42395,371.2879,152.0648
282,10672,7295,42395,371.2205,152.0634
283,10675,7295,42395,371.0668,152.0631
284,10722,7295,42395,369.7302,152.0631
285,10763,7295,42395,369.3540,152.0468
286,10832,7295,42395,369.3184,150.9746
287,10847,7295,42395,369.1944,150.9741
288,10871,7295,42395,369.0955,150.9714
289,10872,7295,42395,368.8273,150.9714
290,10879,7295,42395,368.8266,150.9709
291,11015,7295,42395,368.6620,150.9139
292,11035,7295,42395,368.3422,150.9134
293,11075,7295,42395,368.3061,150.9079
294,11113,7295,42395,368.1564,150.9058
295,11165,7295,42395,368.1155,150.9033
296,11199,7295,42395,368.0462,150.9033
297,11282,7295,42395,368.0011,150.8633
298,11290,7295,42395,367.7450,150.8632
299,11328,7295,42395,367.7336,150.8569
300,11339,7295,42395,367.4467,150.8456
301,11345,7295,42395,365.2379,150.8429
302,11352,7295,42395,365.1677,150.8405
303,11421,7295,42395,364.5778,150.8360
304,11483,7295,42395,364.0947,150.8348
305,11490,7295,42395,363.9608,150.8344
306,11503,7295,42395,363.9405,150.8319
