SummaryNodes,SummaryEdges,NodeThreshold,EdgeThreshold,Objective,TestObjective
154,6104,7295,42395,410.7294,164.1383
155,6127,7295,42395,410.5100,163.3660
156,6151,7295,42395,410.3601,163.0348
157,6231,7295,42395,410.0259,162.9980
158,6258,7295,42395,409.7916,162.9958
159,6333,7295,42395,409.7535,162.9757
160,6383,7295,42395,409.4913,162.9641
161,6411,7295,42395,409.4546,162.9641
162,6439,7295,42395,409.4501,162.9641
163,6517,7295,42395,409.4480,162.9480
164,6523,7295,42395,409.4112,162.9447
165,6542,7295,42395,409.1970,162.9387
166,6575,7295,42395,408.9569,162.9374
167,6626,7295,42395,408.8867,162.9374
168,6644,7295,42395,408.4812,162.9231
169,6725,7295,42395,407.9670,162.8983
170,6745,7295,42395,407.8476,161.8475
171,6794,7295,42395,407.2630,161.8434
172,6820,7295,42395,407.1466,161.8416
173,6844,7295,42395,407.0003,158.6093
174,6874,7295,42395,405.3424,158.6093
175,7001,7295,42395,405.3376,158.5900
176,7013,7295,42395,404.7593,158.5648
177,7053,7295,42395,404.6387,158.5474
178,7063,7295,42395,404.6043,158.5448
179,7127,7295,42395,404.5567,158.5417
180,7160,7295,42395,404.4574,158.4956
181,7208,7295,42395,404.0506,158.4934
182,7225,7295,42395,404.0203,158.4926
183,7240,7295,42395,401.6381,158.4920
184,7271,7295,42395,400.5629,158.4914
185,7289,7295,42395,400.3590,158.4914
186,7329,7295,42395,400.3571,158.4857
187,7338,7295,42395,400.2939,158.4856
188,7472,7295,42395,400.2810,158.4855
189,7587,7295,42395,400.2182,158.4624
190,7632,7295,42395,400.1540,158.4624
191,7652,7295,42395,400.0862,158.4617
192,7691,7295,42395,399.9846,158.4617
193,7699,7295,42395,399.9801,158.4617
194,7756,7295,42395,399.9788,158.4571
195,7779,7295,42395,399.9323,158.3788
196,7808,7295,42395,399.5684,158.3782
197,7825,7295,42395,399.5480,158.3757
198,7854,7295,42395,399.5451,158.3705
199,7885,7295,42395,399.5106,158.3698
200,7969,7295,42395,398.7281,158.3599
201,7990,7295,42395,398.7081,158.3582
202,8031,7295,42395,398.7045,158.3540
203,8074,7295,42395,398.6329,158.3469
204,8087,7295,42395,397.9457,153.3753
205,8113,7295,42395,396.9445,153.3740
206,8124,7295,42395,396.9146,153.3740
207,8173,7295,42395,396.9066,153.3580
208,8192,7295,42395,396.6087,153.3545
209,8217,7295,42395,395.5575,153.3505
210,8242,7295,42395,393.8379,153.3494
211,8371,7295,42395,393.7469,153.3103
212,8384,7295,42395,393.6479,153.3074
213,8398,7295,42395,392.2482,153.3074
214,8433,7295,42395,392.2390,153.3046
215,8460,7295,42395,392.2072,152.5848
216,8501,7295,42395,391.7955,152.5793
217,8556,7295,42395,391.7857,152.5628
218,8613,7295,42395,391.6513,152.3971
219,8734,7295,42395,391.0841,152.3926
220,8763,7295,42395,390.9601,152.3915
221,8811,7295,42395,390.7968,152.3790
222,8934,7295,42395,390.6991,152.2876
223,8953,7295,42395,390.4985,152.2867
224,8986,7295,42395,389.0655,152.2867
225,9025,7295,42395,389.0566,152.2693
226,9043,7295,42395,388.9885,152.2592
227,9070,7295,42395,388.6153,152.2592
228,9083,7295,42395,388.5350,152.2576
229,9132,7295,42395,388.5205,152.2550
230,9148,7295,42395,388.4961,152.2345
231,9186,7295,42395,388.3515,152.2339
232,9246,7295,42395,388.3330,152.2321
233,9270,7295,42395,388.2034,152.2283
234,9285,7295,42395,388.0826,152.2277
235,9298,7295,42395,388.0810,152.2271
236,9311,7295,42395,388.0631,152.2266
237,9337,7295,42395,387.2824,152.2266
238,9441,7295,42395,387.2534,152.2155
239,9464,7295,42395,387.2429,152.2134
240,9509,7295,42395,387.0939,152.2109
241,9518,7295,42395,387.0170,152.2104
242,9532,7295,42395,386.9749,152.2095
243,9547,7295,42395,386.9728,152.2045
244,9555,7295,42395,386.7888,152.2036
245,9684,7295,42395,386.7332,152.1967
246,9730,7295,42395,386.4755,152.1962
247,9751,7295,42395,386.3630,152.1934
248,9924,7295,42395,386.3466,152.1858
249,9935,7295,42395,386.2002,152.1854
250,10088,7295,42395,386.0512,152.1763
251,10134,7295,42395,385.5089,152.1736
252,10145,7295,42395,385.4966,152.1729
253,10172,7295,42395,385.4862,152.1729
254,10232,7295,42395,385.4820,152.1693
255,10273,7295,42395,385.4152,152.1693
256,10292,7295,42395,385.1568,152.1628
257,10314,7295,42395,384.9164,152.1614
258,10340,7295,42395,384.8044,152.1484
259,10343,7295,42395,384.1180,152.1484
260,10416,7295,42395,381.7241,152.1480
261,10426,7295,42395,381.5153,152.1366
262,10524,7295,42395,381.4733,152.1302
263,10578,7295,42395,381.4248,152.1221
264,10611,7295,42395,381.1048,152.1215
265,10668,7295,42395,381.0688,152.1186
266,10674,7295,42395,380.7938,152.1185
267,10695,7295,42395,380.7345,152.0490
268,10748,7295,42395,380.4237,152.0476
269,10766,7295,42395,380.4094,152.0468
270,10965,7295,42395,380.3731,152.0291
271,10994,7295,42395,380.3014,152.0279
272,11046,7295,42395,380.2135,152.0124
273,11148,7295,42395,379.9879,152.0032
274,11160,7295,42395,379.9747,152.0027
275,11221,7295,42395,379.9482,151.9890
