SummaryNodes,SummaryEdges,NodeThreshold,EdgeThreshold,Objective,TestObjective
154,5952,7295,42395,500.6896,196.3384
155,5970,7295,42395,500.4579,196.3380
156,5994,7295,42395,500.3968,196.3368
157,6008,7295,42395,500.3436,196.3368
158,6050,7295,42395,500.2488,196.3348
159,6065,7295,42395,500.1391,196.3336
160,6111,7295,42395,499.2142,196.3309
161,6116,7295,42395,499.1345,196.3304
162,6123,7295,42395,499.1275,196.3301
163,6131,7295,42395,499.1052,196.3299
164,6145,7295,42395,499.0663,196.3289
165,6159,7295,42395,498.9349,196.3281
166,6190,7295,42395,498.7515,196.3256
167,6209,7295,42395,498.4569,196.3254
168,6234,7295,42395,498.4181,196.3252
169,6281,7295,42395,498.3389,196.3240
170,6301,7295,42395,498.2417,196.3237
171,6311,7295,42395,498.0182,196.3234
172,6324,7295,42395,497.8933,196.3233
173,6370,7295,42395,497.8929,196.3199
174,6448,7295,42395,497.6793,196.3147
175,6476,7295,42395,497.3460,196.3135
176,6524,7295,42395,497.3409,196.3120
177,6608,7295,42395,497.1505,196.3086
178,6626,7295,42395,497.0435,196.3083
179,6688,7295,42395,497.0423,196.3057
180,6697,7295,42395,496.7277,196.3046
181,6792,7295,42395,496.7241,196.2568
182,6799,7295,42395,493.2650,196.2565
183,6846,7295,42395,493.2644,196.2550
184,6921,7295,42395,493.0533,196.2518
185,6924,7295,42395,493.0477,196.2514
186,6976,7295,42395,493.0466,196.2476
187,6987,7295,42395,492.8554,196.2430
188,6997,7295,42395,492.6920,196.2429
189,7011,7295,42395,492.4365,196.2405
190,7044,7295,42395,492.4143,196.1662
191,7054,7295,42395,492.3232,196.1658
192,7106,7295,42395,492.3198,196.1639
193,7129,7295,42395,492.2261,196.1631
194,7136,7295,42395,492.2209,196.1625
195,7173,7295,42395,492.2138,196.1621
196,7189,7295,42395,492.1984,196.1617
197,7194,7295,42395,492.1963,196.1600
198,7251,7295,42395,492.1883,196.1594
199,7355,7295,42395,492.1619,196.1387
200,7382,7295,42395,491.4290,196.1383
201,7398,7295,42395,491.3761,196.1368
202,7413,7295,42395,491.3595,196.1344
203,7455,7295,42395,491.3394,196.1272
204,7593,7295,42395,490.7972,196.1271
205,7766,7295,42395,490.7968,196.1206
206,7832,7295,42395,490.7371,196.1148
207,7938,7295,42395,489.8804,196.0422
208,7952,7295,42395,489.7175,196.0408
209,7961,7295,42395,489.6770,196.0395
210,8051,7295,42395,489.6717,196.0250
211,8205,7295,42395,489.6321,195.9200
212,8213,7295,42395,488.1700,195.9198
213,8219,7295,42395,488.1417,195.9193
214,8252,7295,42395,487.9656,195.9188
215,8279,7295,42395,487.8486,195.9184
216,8310,7295,42395,487.8283,195.9160
217,8316,7295,42395,487.7781,195.9159
218,8320,7295,42395,487.5244,195.9153
219,8367,7295,42395,487.5230,195.6153
220,8445,7295,42395,486.4325,195.6153
221,8453,7295,42395,486.3541,195.6151
222,8482,7295,42395,486.2641,195.6144
223,8582,7295,42395,486.2628,195.6142
224,8698,7295,42395,486.2448,195.6138
225,8710,7295,42395,486.2418,195.6128
226,8780,7295,42395,486.2400,195.6102
227,8861,7295,42395,486.1459,195.6066
228,8927,7295,42395,486.1423,195.6035
229,9049,7295,42395,485.9860,191.7857
230,9091,7295,42395,475.0977,191.7855
231,9106,7295,42395,475.0702,191.7854
232,9151,7295,42395,475.0647,191.7848
233,9247,7295,42395,475.0034,191.6147
234,9288,7295,42395,474.9634,191.6139
235,9414,7295,42395,474.6983,191.6119
236,9420,7295,42395,474.5347,191.6096
237,9432,7295,42395,474.4150,191.6089
238,9472,7295,42395,474.4087,191.6081
239,9526,7295,42395,474.3712,191.6078
240,9540,7295,42395,474.3339,191.6077
241,9555,7295,42395,474.3281,191.6075
242,9568,7295,42395,474.3232,191.5943
243,9594,7295,42395,474.3062,191.5938
244,9601,7295,42395,474.2650,191.5271
245,9607,7295,42395,474.1960,191.5266
246,9638,7295,42395,474.1674,191.5254
247,9650,7295,42395,474.1441,191.5240
248,9726,7295,42395,474.1420,191.5045
249,9741,7295,42395,474.0942,191.5038
250,9754,7295,42395,473.6664,191.5037
251,9846,7295,42395,473.6218,191.4945
252,9949,7295,42395,473.5747,191.4923
253,10022,7295,42395,473.5611,191.4710
254,10167,7295,42395,473.4989,191.4699
255,10194,7295,42395,473.4648,191.4695
256,10301,7295,42395,473.4607,191.4686
257,10436,7295,42395,473.4077,191.4673
258,10442,7295,42395,473.3139,191.4669
259,10446,7295,42395,473.3105,191.4663
260,10457,7295,42395,473.2891,191.4652
261,10498,7295,42395,473.2805,191.4644
262,10565,7295,42395,473.2572,191.4626
263,10572,7295,42395,473.2149,191.4622
264,10586,7295,42395,473.2112,191.4619
265,10694,7295,42395,473.2072,191.4531
266,10697,7295,42395,472.7769,191.4529
267,10733,7295,42395,472.7725,191.4476
268,10749,7295,42395,472.7619,191.4467
269,10824,7295,42395,472.7581,191.4414
270,10835,7295,42395,472.5795,191.4408
271,10901,7295,42395,472.5758,191.4388
272,10907,7295,42395,472.4410,191.4382
273,10935,7295,42395,470.7373,191.4355
274,10941,7295,42395,470.6172,191.4352
275,10948,7295,42395,470.6144,191.4350
276,10967,7295,42395,470.2982,191.4278
277,10991,7295,42395,470.2616,191.3606
278,11001,7295,42395,470.1735,191.3604
279,11113,7295,42395,470.1387,191.3590
280,11163,7295,42395,470.0351,191.3586
281,11172,7295,42395,469.9461,191.3559
282,11251,7295,42395,469.9417,191.3559
283,11376,7295,42395,469.8974,191.3550
284,11441,7295,42395,469.8794,191.3525
285,11449,7295,42395,469.8129,191.3517
286,11468,7295,42395,469.7884,191.3512
287,11516,7295,42395,469.6460,191.3470
288,11524,7295,42395,469.6105,191.3458
289,11542,7295,42395,469.5705,191.3446
290,11560,7295,42395,469.5005,191.3286
291,11565,7295,42395,469.1368,191.3282
292,11654,7295,42395,469.1230,191.3269
293,11676,7295,42395,467.9628,191.3252
294,11681,7295,42395,467.9448,191.3243
295,11733,7295,42395,467.9402,191.3230
296,11742,7295,42395,467.6961,191.3220
297,11890,7295,42395,467.6403,191.3217
298,11895,7295,42395,467.4083,191.3209
299,11918,7295,42395,467.3390,191.3204
300,11921,7295,42395,467.3346,191.3200
301,11923,7295,42395,467.3122,191.3194
302,11935,7295,42395,467.2984,191.3186
303,11961,7295,42395,466.7639,191.3178
304,11996,7295,42395,466.7590,191.3168
305,12005,7295,42395,466.4686,191.3162
306,12018,7295,42395,466.3849,191.3161
307,12159,7295,42395,466.3845,191.3160
308,12184,7295,42395,466.0701,191.3146
309,12225,7295,42395,466.0579,191.2048
310,12268,7295,42395,465.5491,190.2129
311,12282,7295,42395,464.3703,190.2121
312,12291,7295,42395,463.6150,190.2113
313,12295,7295,42395,463.3220,190.2111
314,12298,7295,42395,463.2965,190.2104
315,12348,7295,42395,463.2928,190.2095
316,12503,7295,42395,463.1811,190.2036
317,12524,7295,42395,463.0342,190.2035
318,12527,7295,42395,462.9783,190.2027
319,12573,7295,42395,462.9761,190.2025
320,12606,7295,42395,462.6311,190.2009
321,12623,7295,42395,462.5907,190.1974
322,12630,7295,42395,462.5317,190.1962
323,12642,7295,42395,462.4883,190.1959
324,12695,7295,42395,462.4058,190.0910
325,12713,7295,42395,461.9259,189.9139
326,12782,7295,42395,461.7478,189.9113
327,12787,7295,42395,461.7070,189.9109
328,12800,7295,42395,461.7000,189.9108
329,12895,7295,42395,461.6780,189.9099
330,12906,7295,42395,461.3434,189.9091
331,12936,7295,42395,460.9810,189.9071
332,12998,7295,42395,460.7332,189.7292
333,13014,7295,42395,459.9168,189.7281
334,13070,7295,42395,459.9140,189.7280
335,13107,7295,42395,459.8414,189.6550
336,13130,7295,42395,458.9772,189.5680
337,13136,7295,42395,458.5541,189.5673
338,13155,7295,42395,458.3174,189.5655
339,13160,7295,42395,458.2533,189.5650
340,13169,7295,42395,458.2247,189.5650
341,13221,7295,42395,458.2071,189.5618
342,13246,7295,42395,458.0962,189.5592
343,13260,7295,42395,458.0911,189.5586
344,13269,7295,42395,458.0547,189.5580
345,13276,7295,42395,457.8869,189.5557
346,13291,7295,42395,457.8417,189.5535
347,13312,7295,42395,457.8188,189.4871
348,13393,7295,42395,457.4898,189.4422
349,13407,7295,42395,457.3845,189.4420
350,13422,7295,42395,457.1632,189.4409
351,13478,7295,42395,456.8312,189.4382
352,13493,7295,42395,456.6452,189.4377
353,13510,7295,42395,456.6101,189.4370
354,13524,7295,42395,456.6088,189.4359
355,13568,7295,42395,456.5827,189.4351
356,13598,7295,42395,456.5485,189.4330
357,13623,7295,42395,456.2613,189.4329
358,13682,7295,42395,456.2191,189.4160
359,13687,7295,42395,456.0251,189.4033
360,13695,7295,42395,456.0218,189.4013
361,13720,7295,42395,456.0075,189.2903
362,13727,7295,42395,454.9840,189.2880
363,13739,7295,42395,454.9819,189.2874
364,13755,7295,42395,454.9439,189.2817
365,13758,7295,42395,454.7787,189.2802
366,13781,7295,42395,454.7746,189.2768
367,13803,7295,42395,454.7497,189.2758
368,13807,7295,42395,454.7262,189.2752
369,13829,7295,42395,454.6188,189.2647
370,13838,7295,42395,454.4813,189.2613
371,13842,7295,42395,454.2981,189.2606
372,13853,7295,42395,454.2906,189.2600
373,13909,7295,42395,454.2873,189.2578
374,13920,7295,42395,454.1992,189.2532
375,13933,7295,42395,453.9219,189.1822
376,13943,7295,42395,452.2484,189.1817
377,13956,7295,42395,451.9604,189.1815
378,13972,7295,42395,451.7699,189.1809
379,13992,7295,42395,451.4402,189.1794
380,13999,7295,42395,451.2933,189.1541
381,14020,7295,42395,451.1643,189.1539
382,14121,7295,42395,450.9041,189.1193
383,14133,7295,42395,450.3281,189.1192
384,14156,7295,42395,450.3170,189.1191
385,14228,7295,42395,450.2769,188.2600
386,14238,7295,42395,449.3770,188.2593
387,14257,7295,42395,449.2864,188.1253
388,14281,7295,42395,449.1521,188.1249
389,14299,7295,42395,449.1499,188.1241
390,14307,7295,42395,449.0770,188.1224
391,14316,7295,42395,449.0243,188.1102
392,14320,7295,42395,448.8432,188.1100
393,14346,7295,42395,448.8279,188.1098
394,14356,7295,42395,448.7735,188.1088
395,14367,7295,42395,448.4889,188.1084
396,14375,7295,42395,448.4727,188.1084
397,14436,7295,42395,448.4572,188.1077
398,14469,7295,42395,448.4547,188.1056
399,14488,7295,42395,448.3944,188.1037
400,14496,7295,42395,448.2488,188.1033
401,14509,7295,42395,447.8605,187.9153
402,14533,7295,42395,447.6636,187.9141
403,14639,7295,42395,447.4504,187.7392
404,14645,7295,42395,446.0225,187.6919
405,14693,7295,42395,445.9749,187.6914
406,14773,7295,42395,445.8154,187.6896
407,14781,7295,42395,445.6728,187.6892
408,14844,7295,42395,445.6601,187.6892
