SummaryNodes,SummaryEdges,NodeThreshold,EdgeThreshold,Objective,TestObjective
154,5436,7295,42395,463.5410,183.2319
155,5503,7295,42395,463.4243,182.3009
156,5524,7295,42395,460.9026,182.3000
157,5536,7295,42395,460.8211,182.2990
158,5608,7295,42395,460.6324,181.7177
159,5748,7295,42395,460.0380,181.5663
160,5829,7295,42395,459.8285,181.4892
161,5906,7295,42395,459.7610,181.2274
162,5945,7295,42395,459.4716,181.1164
163,5965,7295,42395,459.0947,181.1152
164,6092,7295,42395,459.0743,180.8004
165,6160,7295,42395,456.1229,180.7970
166,6207,7295,42395,455.8947,180.7958
167,6215,7295,42395,455.7261,180.7954
168,6228,7295,42395,455.6976,180.7943
169,6276,7295,42395,455.6835,180.7820
170,6302,7295,42395,454.7749,180.7332
171,6335,7295,42395,454.5539,179.7477
172,6386,7295,42395,453.8378,179.7392
173,6422,7295,42395,453.5050,179.7391
174,6480,7295,42395,453.3059,179.7383
175,6562,7295,42395,453.2256,179.3501
176,6590,7295,42395,452.8183,179.1910
177,6620,7295,42395,452.6420,179.1883
178,6721,7295,42395,452.4313,179.1883
179,6799,7295,42395,452.3346,179.1682
180,6816,7295,42395,452.1380,179.1209
181,6907,7295,42395,452.0835,179.1209
182,6923,7295,42395,451.6361,179.1175
183,6971,7295,42395,451.5469,179.1119
184,6986,7295,42395,450.6827,179.1113
185,7026,7295,42395,449.9401,179.1093
186,7070,7295,42395,449.7303,179.1057
187,7139,7295,42395,449.4644,179.0514
188,7153,7295,42395,448.9900,179.0416
189,7162,7295,42395,448.8980,179.0411
190,7199,7295,42395,448.8182,179.0375
191,7310,7295,42395,448.3173,179.0236
192,7371,7295,42395,447.6417,178.9902
193,7475,7295,42395,447.4118,178.9902
194,7534,7295,42395,447.0352,178.9811
195,7622,7295,42395,446.9133,178.9776
196,7681,7295,42395,446.5678,178.9725
197,7765,7295,42395,446.4408,178.9290
198,7819,7295,42395,446.3876,178.9248
199,7881,7295,42395,446.2376,178.8995
200,7924,7295,42395,446.2088,178.8870
201,7943,7295,42395,445.6791,178.8862
202,7989,7295,42395,445.5667,178.8741
203,7997,7295,42395,445.0617,178.8130
204,8040,7295,42395,444.9286,178.7332
205,8088,7295,42395,444.6855,178.6151
206,8094,7295,42395,444.1096,178.5883
207,8136,7295,42395,443.9940,178.2725
208,8145,7295,42395,442.6551,178.2692
209,8161,7295,42395,442.6502,178.0227
210,8169,7295,42395,441.8006,178.0223
211,8192,7295,42395,441.6411,177.8170
212,8224,7295,42395,441.4277,177.8165
213,8281,7295,42395,441.2690,177.8143
214,8319,7295,42395,440.9714,177.8133
215,8321,7295,42395,440.8165,177.8127
