SummaryNodes,SummaryEdges,NodeThreshold,EdgeThreshold,Objective,TestObjective
154,6754,7295,42395,456.1234,179.6926
155,6872,7295,42395,455.8300,179.6917
156,7041,7295,42395,455.8177,179.6885
157,7200,7295,42395,455.7912,179.6885
158,7286,7295,42395,455.7538,179.6882
159,7324,7295,42395,455.7482,179.6586
160,7360,7295,42395,455.6748,179.6570
161,7363,7295,42395,455.6700,179.6565
162,7371,7295,42395,455.6686,179.6547
163,7378,7295,42395,455.6630,179.6533
164,7434,7295,42395,455.6588,179.6410
165,7490,7295,42395,455.5854,179.6390
166,7601,7295,42395,455.5713,179.4689
167,7723,7295,42395,455.4605,179.3440
168,7856,7295,42395,455.2577,178.7755
169,7868,7295,42395,453.6984,178.7745
170,7911,7295,42395,453.6957,178.7674
171,8045,7295,42395,453.6715,178.7666
172,8135,7295,42395,453.6467,178.7134
173,8235,7295,42395,453.5241,178.7111
174,8330,7295,42395,453.5098,178.7035
175,8386,7295,42395,453.4948,178.6461
176,8394,7295,42395,453.3854,178.6447
177,8404,7295,42395,453.3815,178.6435
178,8452,7295,42395,453.3778,178.6203
179,8467,7295,42395,453.3292,178.6059
180,8486,7295,42395,453.2853,178.5768
181,8506,7295,42395,453.1956,178.5531
182,8530,7295,42395,453.1227,178.5003
183,8542,7295,42395,452.7161,178.4985
184,8546,7295,42395,452.7080,178.4980
185,8555,7295,42395,452.7049,178.4891
186,8565,7295,42395,452.6550,178.4839
187,8579,7295,42395,452.6391,178.4416
188,8593,7295,42395,452.5092,178.3891
189,8606,7295,42395,452.3386,178.3124
190,8607,7295,42395,450.9204,178.3114
191,8701,7295,42395,450.8998,178.3056
192,8825,7295,42395,450.8272,178.2904
193,8841,7295,42395,450.8111,178.2306
194,8865,7295,42395,450.7935,178.2251
195,8966,7295,42395,450.7817,178.1269
196,8993,7295,42395,448.9398,178.1264
197,9026,7295,42395,448.9387,178.1098
198,9085,7295,42395,448.9152,178.1086
199,9094,7295,42395,448.9118,178.1081
200,9179,7295,42395,448.9110,178.1040
201,9247,7295,42395,448.7443,178.0963
202,9386,7295,42395,448.7253,178.0893
203,9423,7295,42395,448.5913,178.0874
204,9499,7295,42395,448.5851,178.0714
205,9679,7295,42395,448.5618,178.0669
206,9735,7295,42395,448.3637,178.0391
207,9794,7295,42395,448.2434,178.0373
208,9901,7295,42395,447.8447,178.0259
209,10024,7295,42395,447.7778,177.9967
210,10163,7295,42395,447.5455,177.9847
211,10194,7295,42395,447.5432,177.9819
212,10208,7295,42395,447.5402,177.9674
213,10209,7295,42395,447.5123,177.9669
214,10228,7295,42395,447.5021,177.9568
215,10322,7295,42395,447.4723,177.8683
216,10393,7295,42395,446.1563,177.8667
217,10466,7295,42395,446.0654,177.8610
218,10560,7295,42395,446.0603,177.8552
219,10746,7295,42395,445.5509,177.8529
220,10925,7295,42395,445.4766,177.8359
221,11078,7295,42395,445.4704,177.8351
222,11165,7295,42395,445.4698,177.8319
223,11168,7295,42395,445.4628,177.8294
224,11171,7295,42395,445.4554,177.8197
225,11359,7295,42395,444.9814,177.8196
226,11361,7295,42395,444.8446,177.8172
227,11459,7295,42395,444.7983,177.6097
228,11463,7295,42395,443.5265,177.5999
229,11590,7295,42395,443.3405,177.5874
230,11738,7295,42395,443.2692,177.5819
231,11773,7295,42395,443.1695,177.5333
232,11776,7295,42395,443.0941,177.5298
